areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,104.0,Bangalore South
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1200,2.0,1.0,53.33,Bangalore North
Super built-up  Area,18-Dec,Banashankari Stage III,3 BHK,,1650,3.0,2.0,118.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Soe 2as,1329,2.0,2.0,45.95,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,NiarkHy,688,1.0,2.0,50.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1331,2.0,1.0,107.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Kaamai ,686,1.0,1.0,62.5,Bangalore South
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,Rosha I,1718,3.0,2.0,90.2,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530,3.0,2.0,57.0,Bangalore South
Built-up  Area,Ready To Move,Hebbal,2 BHK,Arade A,1075,2.0,3.0,52.0,Bangalore North
Plot  Area,18-Dec,Sarjapur  Road,3 Bedroom,,1200,3.0,1.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,Nagavara,4 BHK,K dotna,2172.65,3.0,3.0,120.0,Bangalore North
Plot  Area,Ready To Move,Jalahalli East,3 Bedroom,,800,2.0,1.0,80.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Soikaa ,1117,2.0,3.0,29.99,Bangalore South
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,AnncyRe,740,2.0,1.0,37.0,Bangalore East
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,,1500,2.0,2.0,93.0,Bangalore South
Super built-up  Area,Ready To Move,Banashankari,3 BHK,Bregae ,1800,3.0,2.0,115.0,Bangalore South
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Kinumsh,850,2.0,2.0,37.93,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1891,3.0,1.0,139.0,Bangalore North
Built-up  Area,Ready To Move,Jalahalli,2 BHK,Prensin,1400,1.0,1.0,80.0,Bangalore North
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,,1172,2.0,2.0,82.0,Bangalore South
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,,1400,2.0,2.0,40.43,Bangalore South
Super built-up  Area,20-Jun,Vijayanagar,2 BHK,Saityat,1180,2.0,2.0,65.0,Bangalore South
Plot  Area,Ready To Move,Basaveshwara Nagar,7 Bedroom,,2460,7.0,1.0,350.0,Bangalore South
Super built-up  Area,17-Oct,Bellandur,4 BHK,NiCodCa,2025,4.0,3.0,109.0,Bangalore South
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,,500,2.0,2.0,14.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,332.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Rencyed,1455,2.0,1.0,145.0,Bangalore South
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,94.99,Bangalore North
Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1600,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,GonumPl,2900,4.0,,240.0,Bangalore North
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Incksaf,1980,3.0,2.0,88.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2.0,1.0,54.0,Bangalore South
Plot  Area,Ready To Move,Yeshwanthpur,2 Bedroom,,585,1.0,0.0,70.0,Bangalore North
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,AkletBa,2045,4.0,3.0,154.0,Bangalore East
Super built-up  Area,Ready To Move,Bellandur,3 BHK,AkonyHa,1490,2.0,2.0,98.0,Bangalore South
Built-up  Area,Ready To Move,Banaswadi,7 Bedroom,,6150,6.0,1.0,830.0,Bangalore North
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,883,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,671,1.0,1.0,36.85,Bangalore North
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Elentrk,1156,2.0,2.0,32.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2017,3.0,2.0,125.0,Bangalore South
Super built-up  Area,18-Jul,Ramagondanahalli,3 BHK,ViistLa,1635,3.0,1.0,62.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1296,2.0,1.0,89.0,Bangalore South
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1139,2.0,2.0,62.0,Bangalore North
Super built-up  Area,18-Aug,CV Raman Nagar,2 BHK,,1230,3.0,2.0,47.0,Bangalore East
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1 BHK,,581.91,2.0,1.0,25.0,Bangalore North
Super built-up  Area,19-Dec,Binny Pete,2 BHK,Shestlo,1245,2.0,1.0,86.28,Bangalore West
Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3951,4.0,2.0,220.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1.0,1.0,15.0,Bangalore South
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1 BHK,ItRRVna,360,1.0,1.0,26.0,Bangalore East
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,,1350,3.0,1.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1600,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1307,2.0,2.0,51.6,Bangalore North
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,LencyRe,1050,2.0,1.0,57.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,ChionCo,1703,3.0,,101.0,Bangalore North
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,29.6,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1343,2.0,2.0,56.41,Bangalore South
Super built-up  Area,Ready To Move,R.T. Nagar,3 BHK,,1560,3.0,2.0,85.0,Bangalore North
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1420,2.0,2.0,75.0,Bangalore South
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,Dhnts A,1415,2.0,3.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,Aaityi ,1210,2.0,2.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,RNvasth,1852,3.0,2.0,160.0,Bangalore North
Plot  Area,Ready To Move,Magadi Road,2 Bedroom,Bhgarve,1350,1.0,0.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Panathur,3 BHK,SVnamnd,1546,3.0,2.0,99.0,Bangalore East
Built-up  Area,Ready To Move,Bellandur,3 BHK,Itnaia ,1398,3.0,1.0,68.0,Bangalore South
Super built-up  Area,18-Aug,Magadi Road,3 BHK,Vrenty ,1322,2.0,2.0,58.82,Bangalore South
Built-up  Area,Ready To Move,Sarjapur,3 BHK,Ahownve,1285,2.0,2.0,68.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,MenueNo,1430,2.0,2.0,56.0,Bangalore North
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1350,2.0,2.0,62.0,Bangalore East
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Leate O,1760,3.0,2.0,67.0,Bangalore South
Plot  Area,Ready To Move,Bank Of Baroda Colony,4 Bedroom,,2400,5.0,2.0,350.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,,900,2.0,1.0,41.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,Soazak ,1297,2.0,1.0,105.0,Bangalore South
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,SodilDa,1840,3.0,2.0,155.0,Bangalore South
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,,950,2.0,1.0,50.79,Bangalore East
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Prthand,1250 - 1305,2.0,0.0,95.815,Bangalore North
Super built-up  Area,18-Jan,Electronic City,3 BHK,Prarkun,1571,3.0,2.0,89.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1031,2.0,1.0,55.0,Bangalore South
Super built-up  Area,19-Dec,Whitefield,2 BHK,Goted U,1485,2.0,1.0,90.0,Bangalore East
Super built-up  Area,18-Dec,Ananth Nagar,2 BHK,Marnara,1109,2.0,1.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2200,3.0,2.0,180.0,Bangalore South
Super built-up  Area,18-Apr,Whitefield,1 BHK,Prtates,950,1.0,1.0,50.0,Bangalore East
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,MJtroty,1003,2.0,1.0,40.6,Bangalore South
Plot  Area,Ready To Move,Bank Of Baroda Colony,2 Bedroom,,1350,2.0,1.0,185.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1255,2.0,2.0,73.0,Bangalore South
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1250,2.0,0.0,60.0,Bangalore North
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1200,2.0,0.0,66.0,Bangalore East
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1320,2.0,1.0,38.12,Bangalore South
Plot  Area,Ready To Move,Kothanur,5 Bedroom,,9600,5.0,2.0,550.0,Bangalore North
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2.0,1.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,,1220,3.0,2.0,56.0,Bangalore South
Super built-up  Area,18-Dec,Electronic City,3 BHK,,1111,3.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1197,2.0,1.0,47.88,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2519,5.0,2.0,185.0,Bangalore East
Plot  Area,Ready To Move,Old Madras Road,4 Bedroom,Feowsdi,1450,3.0,3.0,132.0,Bangalore North
Plot  Area,Ready To Move,Haralur Road,4 Bedroom,,1200,4.0,,245.0,Bangalore South
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,ACiteda,1238,2.0,3.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1405,2.0,2.0,59.01,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1673,3.0,2.0,115.0,Bangalore South
Super built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1112,2.0,2.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1385,2.0,2.0,66.65,Bangalore East
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,545,1.0,1.0,27.0,Bangalore South
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,985,2.0,1.0,58.0,Bangalore South
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,GolusLi,670 - 980,1.0,0.0,36.29,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1080,2.0,1.0,37.8,Bangalore South
Super built-up  Area,19-Mar,Hosa Road,2 BHK,Sosisic,1430,2.0,1.0,97.52,Bangalore South
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,1050,2.0,2.0,43.0,Bangalore South
Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,2000,4.0,1.0,139.0,Bangalore South
Built-up  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,4800,4.0,3.0,190.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Vaonyi ,2610,3.0,,399.0,Bangalore South
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1750,3.0,2.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,87.5,Bangalore West
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754,3.0,2.0,125.0,Bangalore South
Built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Paion P,1560,3.0,2.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,4 BHK,,3584,4.0,,199.0,Bangalore East
Plot  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,2400,5.0,,329.0,Bangalore East
Built-up  Area,Ready To Move,Kammanahalli,2 BHK,,1160,2.0,1.0,52.0,Bangalore North
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,1170,2.0,,38.0,Bangalore North
Super built-up  Area,19-Dec,Bannerghatta Road,1 BHK,Hiatei ,595,1.0,1.0,31.83,Bangalore South
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Brstark,1650,3.0,2.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,,1875,2.0,3.0,235.0,Bangalore South
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1235,2.0,1.0,46.8,Bangalore South
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1400,3.0,1.0,115.0,Bangalore South
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,,1105,2.0,1.0,51.0,Bangalore South
Plot  Area,Ready To Move,Attibele,4 Bedroom,,2168,4.0,2.0,95.0,Bangalore South
Built-up  Area,Ready To Move,Gottigere,8 Bedroom,,1200,8.0,3.0,90.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Ulure S,1065,2.0,1.0,40.84,Bangalore North
Plot  Area,Ready To Move,Sector 6 HSR Layout,3 Bedroom,,3800,3.0,0.0,580.0,Bangalore South
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,9 Bedroom,,3125,9.0,,350.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,1 BHK,UKe 2nz,825,1.0,1.0,45.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,870,2.0,1.0,39.5,Bangalore South
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1195,2.0,1.0,84.0,Bangalore East
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Lancy R,1530,3.0,3.0,61.2,Bangalore South
Super built-up  Area,17-Oct,Padmanabhanagar,3 BHK,,1708,2.0,1.0,90.5,Bangalore South
Built-up  Area,Ready To Move,KR Puram,2 BHK,,750,2.0,1.0,25.0,Bangalore East
Plot  Area,Ready To Move,Nagarbhavi,6 Bedroom,,1200,5.0,2.0,240.0,Bangalore South
Super built-up  Area,21-Dec,Thanisandra,2 BHK,Bhe 2ko,1183,2.0,1.0,58.56,Bangalore North
Plot  Area,Ready To Move,Kothanur,4 Bedroom,,1140,4.0,1.0,90.0,Bangalore North
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frides ,1110,2.0,3.0,53.0,Bangalore East
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105,2.0,1.0,38.67,Bangalore East
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,,1000,2.0,2.0,29.9,Bangalore South
Built-up  Area,Ready To Move,Prithvi Layout,2 BHK,,1190,2.0,2.0,68.0,Bangalore West
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1350,4.0,1.0,200.0,Bangalore South
Super built-up  Area,19-Oct,Hebbal,4 BHK,SNontle,3067,4.0,2.0,230.0,Bangalore North
Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1929,4.0,1.0,103.0,Bangalore South
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,SVyam N,1525,3.0,1.0,100.0,Bangalore East
Built-up  Area,Ready To Move,Banashankari,2 BHK,Koestpt,1125,2.0,1.0,63.0,Bangalore South
Super built-up  Area,18-Mar,Sarjapur  Road,2 BHK,,1155,2.0,1.0,58.0,Bangalore South
Built-up  Area,Ready To Move,Hulimavu,4 Bedroom,,1200,4.0,0.0,75.0,Bangalore South
Super built-up  Area,18-Jan,Electronic City,1 BHK,Prarkun,630,1.0,1.0,47.0,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Mebhaee,1060,2.0,2.0,48.0,Bangalore East
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1687,3.0,3.0,127.0,Bangalore North
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1847,3.0,2.0,123.0,Bangalore North
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,53.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1075,2.0,1.0,42.99,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3526,4.0,,492.0,Bangalore South
Built-up  Area,Ready To Move,BTM Layout,3 Bedroom,,3000,3.0,0.0,338.0,Bangalore South
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1875,3.0,3.0,110.0,Bangalore South
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,GolusLi,983,2.0,1.0,50.6,Bangalore South
Super built-up  Area,Ready To Move,Kasturi Nagar,2 BHK,,1101,2.0,2.0,65.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1215,2.0,2.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,1007,2.0,3.0,42.0,Bangalore South
Super built-up  Area,Ready To Move,Bellandur,3 BHK,SoderLa,2039,3.0,2.0,168.0,Bangalore South
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,1020,3.0,2.0,110.0,Bangalore East
Built-up  Area,Ready To Move,5th block Koramangala,4 BHK,,4000,4.0,1.0,520.0,Bangalore South
Built-up  Area,Ready To Move,JakkurYelahanka,2 BHK,,1370,2.0,2.0,75.0,Bangalore North
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Foity S,1350,3.0,1.0,55.5,Bangalore East
Super built-up  Area,18-May,Gunjur Palya,2 BHK,,1050,2.0,1.0,43.0,Bangalore South
Carpet  Area,Ready To Move,KR Puram,3 BHK,Jahidva,1005.03 - 1252.49,3.0,0.0,47.405,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,PrwarSa,921,2.0,1.0,34.0,Bangalore South
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Rasom B,1010,2.0,1.0,49.27,Bangalore East
Super built-up  Area,18-Jun,KR Puram,2 BHK,MCnexva,1015,2.0,1.0,43.0,Bangalore East
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1179,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,1.0,24.0,Bangalore South
Super built-up  Area,Ready To Move,Bellandur,3 BHK,,1605,3.0,2.0,85.0,Bangalore South
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,,2800,4.0,2.0,89.0,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4.0,3.0,320.0,Bangalore South
Plot  Area,Ready To Move,Ngef Layout,2 Bedroom,,3000,2.0,0.0,510.0,Bangalore South
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,2.0,0.0,80.0,Bangalore East
Plot  Area,18-May,Kammasandra,2 Bedroom,Daden G,1200,2.0,1.0,66.0,Bangalore South
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,Soazak ,1592,3.0,,125.0,Bangalore South
Super built-up  Area,18-Nov,B Narayanapura,2 BHK,,1313,2.0,1.0,58.27,Bangalore North
Super built-up  Area,21-May,Kogilu,3 BHK,Sourtal,1934,3.0,2.0,150.0,Bangalore North
Super built-up  Area,Ready To Move,Harlur,2 BHK,Sancyi ,1200,2.0,1.0,49.5,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,6 BHK,PoetyHo,3600,6.0,2.0,120.0,Bangalore South
Super built-up  Area,19-Dec,Old Madras Road,2 BHK,SheldGr,935,2.0,1.0,45.0,Bangalore North
Super built-up  Area,Ready To Move,Nagasandra,3 BHK,,1470,2.0,2.0,110.0,Bangalore North
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,0.0,69.61,Bangalore North
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1901,3.0,2.0,119.0,Bangalore West
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1819,3.0,2.0,100.0,Bangalore South
Plot  Area,Immediate Possession,Banashankari,,,2400,,,460.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5,Bangalore North
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,2.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Kothanur,3 BHK,,1435,3.0,3.0,70.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Ceiti I,1845,4.0,1.0,110.0,Bangalore South
Super built-up  Area,18-Feb,Ulsoor,2 BHK,,1200,2.0,0.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,2.0,150.0,Bangalore North
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Caiseha,1020,2.0,1.0,37.0,Bangalore North
Built-up  Area,Ready To Move,Bommanahalli,1 BHK,,515,1.0,1.0,25.0,Bangalore South
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1893,3.0,2.0,140.0,Bangalore North
Built-up  Area,Ready To Move,Singasandra,2 Bedroom,,600,2.0,1.0,36.5,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,90.0,Bangalore South
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,HMonymp,1200,2.0,1.0,78.0,Bangalore South
Super built-up  Area,19-Oct,Sarjapur  Road,2 BHK,Brareio,1233,2.0,2.0,77.65,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1255,2.0,2.0,65.26,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1200,2.0,2.0,37.8,Bangalore South
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,175.0,Bangalore South
Built-up  Area,Ready To Move,Kothannur,2 BHK,,740,2.0,1.0,34.0,Bangalore South
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1250,3.0,3.0,48.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1525,2.0,2.0,60.0,Bangalore South
Built-up  Area,Ready To Move,Kogilu,1 Bedroom,,540,1.0,0.0,36.0,Bangalore North
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1240,2.0,1.0,84.0,Bangalore North
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Mayne A,1245,2.0,1.0,68.0,Bangalore South
Super built-up  Area,18-Mar,Hosa Road,2 BHK,Akvam P,1004 - 1204,2.0,0.0,36.43,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.99,Bangalore South
Built-up  Area,18-May,Nagavara,2 BHK,,2200,2.0,1.0,55.0,Bangalore North
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1155,2.0,1.0,60.0,Bangalore East
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1290,2.0,1.0,85.0,Bangalore South
Built-up  Area,Ready To Move,Kannamangala,4 Bedroom,,3000,4.0,0.0,200.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,4 BHK,Haestt ,361.33Sq. Yards,4.0,,270.0,Bangalore East
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1340,2.0,3.0,53.6,Bangalore South
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,SrntsRV,900,2.0,1.0,95.0,Bangalore South
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,1800,4.0,,324.0,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Koagati,987,2.0,1.0,49.0,Bangalore North
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brglede,1720,3.0,2.0,100.0,Bangalore North
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1040,2.0,1.0,50.0,Bangalore North
Built-up  Area,Ready To Move,Anandapura,2 Bedroom,,900,2.0,0.0,64.0,Bangalore South
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Neess P,1030,2.0,1.0,50.0,Bangalore South
Plot  Area,Ready To Move,Kaval Byrasandra,4 Bedroom,,750,4.0,3.0,110.0,Bangalore North
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2.0,1.0,83.0,Bangalore South
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,,940,2.0,1.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Domlur,2 BHK,IBictnd,1050,2.0,2.0,85.0,Bangalore East
Built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,VeSkyva,1726,3.0,3.0,145.0,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,,1525,2.0,2.0,48.0,Bangalore South
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Vaens G,1025,2.0,2.0,57.0,Bangalore South
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1197,2.0,1.0,47.8,Bangalore South
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1150,2.0,1.0,52.75,Bangalore East
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,Dhows M,1040,2.0,2.0,46.0,Bangalore North
Super built-up  Area,18-May,Banashankari,2 BHK,Bregae ,1310,2.0,2.0,80.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1788,3.0,2.0,98.34,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1144,2.0,2.0,38.55,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,970,2.0,2.0,27.0,Bangalore South
Super built-up  Area,19-Mar,Kasavanhalli,3 BHK,Oca 2 V,1646,3.0,2.0,79.5,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Klark L,4395,4.0,2.0,242.0,Bangalore South
